prompt,expected_output,actual_output,category,difficulty
"What is the capital of France?","Paris","Paris","geography","easy"
"What is the capital of France?","Paris","The capital city of France is Paris, which is also the largest city in the country.","geography","easy"
"What is the capital of France?","Paris","London","geography","easy"
"What is the capital of France?","Paris","I think it might be Paris or maybe Lyon, I'm not completely sure.","geography","easy"
"Explain photosynthesis","Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to create glucose and oxygen.","Photosynthesis is when plants use sunlight, water, and CO2 to make food and oxygen.","biology","medium"
"Explain photosynthesis","Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to create glucose and oxygen.","Plants need light to grow.","biology","medium"
"Explain photosynthesis","Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to create glucose and oxygen.","Photosynthesis involves chlorophyll absorbing light energy to convert carbon dioxide and water into glucose through a complex series of chemical reactions, releasing oxygen as a byproduct.","biology","medium"
"Explain photosynthesis","Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to create glucose and oxygen.","Plants eat sunlight and breathe out air.","biology","medium"
"What is 2 + 2?","4","4","mathematics","easy"
"What is 2 + 2?","4","The answer is four (4).","mathematics","easy"
"What is 2 + 2?","4","5","mathematics","easy"
"What is 2 + 2?","4","Two plus two equals four, which is a basic arithmetic operation.","mathematics","easy"
"Who wrote Romeo and Juliet?","William Shakespeare","Shakespeare","literature","easy"
"Who wrote Romeo and Juliet?","William Shakespeare","William Shakespeare wrote Romeo and Juliet, one of his most famous tragic plays.","literature","easy"
"Who wrote Romeo and Juliet?","William Shakespeare","Charles Dickens","literature","easy"
"Who wrote Romeo and Juliet?","William Shakespeare","I believe it was Shakespeare, though I'm not entirely certain.","literature","easy"
"Explain machine learning","Machine learning is a subset of AI that enables computers to learn from data without explicit programming.","Machine learning is when computers learn from data to make predictions.","technology","medium"
"Explain machine learning","Machine learning is a subset of AI that enables computers to learn from data without explicit programming.","Machine learning algorithms analyze large datasets to identify patterns and make predictions or decisions without being explicitly programmed for specific tasks.","technology","medium"
"Explain machine learning","Machine learning is a subset of AI that enables computers to learn from data without explicit programming.","Computers are smart.","technology","medium"
"Explain machine learning","Machine learning is a subset of AI that enables computers to learn from data without explicit programming.","It's like teaching computers but they learn by themselves from examples.","technology","medium"